,checking_acc,credit_historic,saving_acc,atual_employ_since,installment_rate,sex,housing,credits_at_bank,classification
893,0,Critical acc/Other cr existing,0,2,4,Male,Own,2,Good
894,0,Delay in paying,0,3,3,Male,Own,1,Good
895,1,Existing credits paid,1,1,4,Female,Rent,1,Good
896,0,Critical acc/Other cr existing,4,3,3,Female,Own,1,Good
897,0,Existing credits paid,0,3,1,Female,Rent,1,Good
898,1,Existing credits paid,1,2,2,Male,Own,1,Bad
899,1,Critical acc/Other cr existing,1,4,2,Male,Rent,1,Bad
900,0,Critical acc/Other cr existing,0,1,2,Male,Own,2,Good
901,0,Critical acc/Other cr existing,0,4,2,Male,For free,2,Good
902,0,Existing credits paid,0,2,4,Male,Rent,1,Good
903,0,Existing credits paid,1,4,4,Male,Own,1,Good
904,1,Existing credits paid,1,2,2,Male,Rent,1,Good
905,1,Existing credits paid,0,3,2,Male,Own,1,Good
906,2,Existing credits paid,0,2,2,Male,Own,1,Good
907,0,Delay in paying,1,1,1,Female,Own,2,Good
908,2,Existing credits paid,0,2,1,Female,Own,1,Good
909,0,Delay in paying,1,2,4,Female,Own,2,Good
910,2,Critical acc/Other cr existing,1,1,2,Female,Own,1,Bad
911,2,Existing credits paid,0,4,2,Female,Own,1,Good
912,0,Existing credits paid,4,4,1,Male,Own,1,Good
913,1,All cr at this bank paid,1,2,4,Male,Rent,1,Bad
914,2,No cr taken/all cr paid,1,2,1,Female,Own,1,Bad
915,0,Existing credits paid,2,2,1,Male,Own,1,Good
916,1,Existing credits paid,1,4,1,Male,Own,1,Bad
917,1,Existing credits paid,2,0,1,Male,Own,1,Bad
918,1,Existing credits paid,1,4,4,Male,Rent,1,Bad
919,0,Critical acc/Other cr existing,1,2,4,Female,Own,2,Good
920,0,Delay in paying,3,3,4,Male,Own,1,Good
921,1,Existing credits paid,1,1,3,Female,Rent,1,Bad
922,2,Existing credits paid,1,3,3,Male,Rent,1,Good
923,1,All cr at this bank paid,1,1,2,Male,Own,1,Bad
924,1,All cr at this bank paid,1,1,4,Male,Own,2,Bad
925,1,Critical acc/Other cr existing,1,1,4,Female,Rent,1,Good
926,1,Existing credits paid,1,3,4,Male,For free,3,Bad
927,0,Existing credits paid,0,4,4,Male,Own,1,Good
928,1,Delay in paying,1,2,4,Male,Own,2,Good
929,1,Existing credits paid,1,1,4,Male,Own,1,Good
930,2,Existing credits paid,1,1,4,Female,Own,1,Bad
931,0,Critical acc/Other cr existing,1,2,3,Male,Own,2,Good
932,0,Critical acc/Other cr existing,3,4,4,Male,Own,2,Good
933,1,Existing credits paid,1,2,4,Female,Own,1,Good
934,2,Delay in paying,2,1,4,Male,Own,2,Bad
935,3,Existing credits paid,1,2,3,Female,Own,1,Bad
936,2,Existing credits paid,1,1,4,Male,Rent,1,Good
937,2,Existing credits paid,1,2,4,Male,For free,1,Bad
938,0,Critical acc/Other cr existing,0,2,2,Male,Own,2,Good
939,0,Existing credits paid,0,1,2,Male,Own,1,Good
940,0,Existing credits paid,1,2,3,Male,Own,1,Good
941,0,Existing credits paid,0,3,4,Male,Own,1,Good
942,0,Critical acc/Other cr existing,1,3,2,Male,Own,3,Good
943,1,Existing credits paid,1,1,4,Female,Rent,1,Good
944,2,No cr taken/all cr paid,3,1,1,Female,Own,2,Good
945,1,All cr at this bank paid,3,1,4,Male,For free,1,Bad
946,0,Existing credits paid,0,0,4,Male,Own,1,Good
947,0,Existing credits paid,1,1,4,Male,Own,1,Bad
948,0,Existing credits paid,2,4,2,Male,Own,2,Bad
949,2,Critical acc/Other cr existing,1,0,3,Male,Own,3,Good
950,1,Delay in paying,1,3,2,Male,Own,2,Bad
951,2,Existing credits paid,3,1,3,Female,Rent,1,Bad
952,0,Existing credits paid,1,0,4,Female,Own,2,Bad
953,1,Existing credits paid,1,2,4,Female,Own,1,Good
954,1,Critical acc/Other cr existing,4,4,4,Female,Rent,2,Good
955,3,Critical acc/Other cr existing,0,4,4,Male,Own,2,Good
956,2,Critical acc/Other cr existing,1,4,2,Male,Own,3,Good
957,1,Existing credits paid,1,2,3,Male,Own,1,Bad
958,2,Existing credits paid,2,4,4,Male,For free,1,Good
959,0,Critical acc/Other cr existing,1,4,2,Male,Rent,2,Good
960,2,Delay in paying,1,2,1,Male,Own,2,Good
961,0,Existing credits paid,0,2,3,Male,Own,1,Good
962,0,Existing credits paid,3,4,3,Male,Own,2,Bad
963,2,Existing credits paid,1,1,3,Male,Own,1,Good
964,2,Existing credits paid,0,2,4,Female,Own,1,Good
965,2,Critical acc/Other cr existing,3,2,4,Male,Own,2,Bad
966,0,Existing credits paid,1,4,4,Female,Rent,1,Good
967,0,Existing credits paid,0,3,2,Male,Rent,1,Good
968,1,Critical acc/Other cr existing,1,2,1,Male,Own,2,Good
969,2,Existing credits paid,2,2,4,Male,Own,1,Good
970,0,Existing credits paid,1,2,1,Male,Own,1,Good
971,1,All cr at this bank paid,1,0,1,Female,Rent,2,Bad
972,1,Existing credits paid,1,4,4,Male,Rent,1,Bad
973,0,Critical acc/Other cr existing,1,2,4,Female,Own,1,Good
974,3,Existing credits paid,3,2,3,Female,Own,1,Good
975,2,Existing credits paid,1,2,2,Female,Own,1,Good
976,2,Delay in paying,0,4,4,Male,Own,2,Good
977,0,Delay in paying,1,4,4,Male,Own,2,Bad
978,2,All cr at this bank paid,2,2,2,Male,Rent,1,Bad
979,2,Critical acc/Other cr existing,1,3,2,Male,Own,1,Bad
980,0,Existing credits paid,1,0,3,Male,Rent,1,Bad
981,3,Existing credits paid,2,2,1,Female,Own,1,Good
982,1,Existing credits paid,1,2,2,Male,Own,1,Bad
983,0,Critical acc/Other cr existing,1,3,2,Male,Own,2,Good
984,1,Critical acc/Other cr existing,1,2,4,Female,Rent,2,Good
985,3,No cr taken/all cr paid,1,1,2,Male,Own,2,Good
986,0,Existing credits paid,2,0,2,Female,Own,1,Good
987,1,Existing credits paid,1,0,4,Male,For free,1,Good
988,2,Critical acc/Other cr existing,1,4,4,Male,Own,2,Good
989,0,Critical acc/Other cr existing,0,1,2,Male,Own,2,Good
990,0,All cr at this bank paid,2,4,4,Male,Own,1,Good
991,1,Existing credits paid,0,3,2,Male,Rent,2,Good
992,1,Existing credits paid,1,0,4,Male,Own,1,Good
993,0,Existing credits paid,0,4,4,Male,Own,1,Good
994,0,Existing credits paid,1,3,3,Female,Own,1,Good
995,1,Existing credits paid,1,2,4,Male,Own,1,Good
996,0,Existing credits paid,1,4,4,Male,Own,1,Good
997,1,Existing credits paid,1,2,4,Male,For free,1,Bad
998,2,Critical acc/Other cr existing,2,0,3,Male,Own,1,Good
